,date,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,precipitation_hours,shortwave_radiation_sum,et0_fao_evapotranspiration,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,leaf_wetness_probability_mean,precipitation_sum,relative_humidity_2m_mean,pressure_msl_mean,surface_pressure_mean,wind_gusts_10m_mean,wind_speed_10m_mean,apparent_temperature_mean,date_anomaly_score,daylight_duration_anomaly_score,sunshine_duration_anomaly_score,rain_sum_anomaly_score,snowfall_sum_anomaly_score,precipitation_hours_anomaly_score,shortwave_radiation_sum_anomaly_score,et0_fao_evapotranspiration_anomaly_score,temperature_2m_mean_anomaly_score,dew_point_2m_mean_anomaly_score,cloud_cover_mean_anomaly_score,leaf_wetness_probability_mean_anomaly_score,precipitation_sum_anomaly_score,relative_humidity_2m_mean_anomaly_score,pressure_msl_mean_anomaly_score,surface_pressure_mean_anomaly_score,wind_gusts_10m_mean_anomaly_score,wind_speed_10m_mean_anomaly_score,apparent_temperature_mean_anomaly_score
25,2021-04-25,55629.992,49559.504,0.0,0.0,0.0,20.478573,2.8045704,7.2474403,-0.826369,18.869047,17.868261,0.0,60.105713,1021.29346,1012.2545,12.126429,5.313493,4.3532233,0.07284924826420291,0.024260010702950807,0.0321249722507535,0.24017385355456333,0.29695101169835014,0.04672630959675239,0.05972436881504006,0.1169728630051663,0.23715472429647505,0.15271440436364814,0.012263158592077383,0.054610120666778394,0.12865781305324342,0.14965728777131249,0.16715351849659998,0.18153135348674831,0.22809321434317997,0.23550165547299812,0.1886522783534511
26,2021-05-02,58060.53,45687.562,0.6571428,0.0,1.7142857,19.115713,2.6187787,6.647738,-1.4055357,63.39881,22.031118,0.6571428,59.45702,1007.3458,998.41174,15.947143,6.4582295,3.4915822,0.07827732540073273,0.022092075454648308,0.10257507200339033,0.18178669523345636,0.29695101169835014,0.03446720639614498,0.11815353646072868,0.12843855661554843,0.2003532798689926,0.18686074720254509,0.17894818225232678,0.01124251097108464,0.16994896418457445,0.1359047853610752,0.25585991904703426,0.2401135740642818,0.2655785216633989,0.23620680008187128,0.1518052859441652
27,2021-05-09,60433.945,38838.355,1.1142857,0.0,1.2857143,16.342857,2.3908381,7.6346426,0.5117262,84.1369,32.253902,1.1142857,63.109344,1012.85004,1003.89984,14.747142,5.327557,4.8610816,0.07729583164967724,0.027943402420367636,0.13323316534959384,0.12886943936809492,0.29695101169835014,0.057740035542738655,0.13613638419672242,0.12185569836508059,0.21041705418907314,0.18325593198449813,0.2023001951800466,0.049072314878749856,0.1538781877587485,0.17964166280036808,0.2556565689317071,0.24547261332725012,0.2588906834815931,0.22874250959301423,0.2215541100414456
28,2021-05-16,62705.055,42159.18,1.9428571,0.0,8.0,16.592857,2.4168704,8.814703,3.1334527,76.0,52.87159,1.9428571,70.410774,1015.3661,1006.43146,14.067857,4.728223,6.5690107,0.07820412020128908,0.027721632194867785,0.1263663229787978,0.15553734613465547,0.29695101169835014,0.11985126530861984,0.11123625164623896,0.12963389290236838,0.19390825908440107,0.17133376942973666,0.19051512953408017,0.045470225976257383,0.1699589133838016,0.21745594282870095,0.23818958463571677,0.24147713748814786,0.2532429940106251,0.1481998285756747,0.17131160021126296
29,2021-05-23,64874.973,34001.19,1.3428572,0.0,8.285714,15.607142,2.5030627,9.252501,2.4027977,77.10714,48.93993,1.3428572,65.09526,1014.8453,1005.92883,16.785,6.5056753,6.613633,0.07601171671444673,0.015125596988989631,0.14168152131362832,0.15108244854806246,0.29695101169835014,0.11527941880565296,0.14064531581741935,0.15913340884902072,0.18648827711379878,0.14314476339718407,0.19045241207843355,0.05425409138205062,0.1647622312378434,0.215133761523779,0.24282330641471805,0.24033968086434454,0.2451859564909576,0.2562051410147892,0.16601033765923712
30,2021-05-30,66819.86,38220.566,4.9571433,0.0,9.0,17.679998,3.195187,12.190001,3.7965474,60.125,46.575413,4.9571433,63.22257,1009.15784,1000.3807,19.555714,7.550304,9.783241,0.06838246593201747,0.011009966506874025,0.1472235586256641,0.07869859279292035,0.29695101169835014,0.11564203279473351,0.10736469111657576,0.06644586615379189,0.2063179336284215,0.16940217529364127,0.14152441012801165,0.06569128296115412,0.09876830056169261,0.16776026779975695,0.26304949962266233,0.2589582831139744,0.18200648265760727,0.2355906969019657,0.18925171001829788
31,2021-06-06,68434.29,44129.188,1.2857143,0.0,3.7142856,19.87143,3.3060086,12.97512,5.8786902,64.42857,45.775967,1.2857143,64.385895,1003.45886,994.7565,16.401426,5.7941566,11.191803,0.06852026703638137,0.009704598301742973,0.10795001216721856,0.15554113699611477,0.29695101169835014,0.11679795741761817,0.044436044966653765,0.07387181794155773,0.2301377709102861,0.16032299095066926,0.20111782653236593,0.05340548861730565,0.15750876462913627,0.22376951620671282,0.21284272389528625,0.2151236866278351,0.25930178429203193,0.25334558210927544,0.19262756859405183
32,2021-06-13,69642.04,42957.188,0.51428574,0.0,3.0,18.935715,3.282719,14.041786,6.925714,78.458336,43.201145,0.51428574,64.51613,1012.01965,1003.2755,16.238571,5.619081,12.533217,0.07103210508456148,0.009400065995489482,0.13999256479871752,0.14959734159183158,0.29695101169835014,0.10768934646162126,0.12585428098670726,0.07691554887940022,0.21531456656134235,0.16416929641592365,0.2202426958931677,0.034030995932740726,0.1435452514631475,0.23234549199596544,0.25248001096827005,0.23762323357263865,0.2552232538694851,0.2452356496892955,0.21000590332942837
33,2021-06-20,70293.47,41753.723,2.8142855,0.0,6.285714,17.981428,3.2918017,15.148036,7.9899993,64.333336,44.910275,2.8142855,65.801315,1015.68097,1006.9382,15.921428,5.483002,13.923495,0.07837607091094889,0.012613451632369377,0.10778324999049294,0.10083816152572311,0.29695101169835014,0.09422484384319701,0.1390346450545391,0.08234373366766157,0.2150319058940936,0.19177979341833395,0.19960190697181768,0.05358629928252667,0.15013113681901985,0.19432296624607104,0.23876918692764232,0.23759876329150542,0.2637834740751141,0.2326803423729737,0.1999916573142746
34,2021-06-27,70295.016,26539.824,1.7142857,0.0,7.571429,12.772858,2.4100633,14.128691,9.011725,86.99404,54.853848,1.7142857,73.13005,1010.4774,1001.7495,14.916428,5.0904074,13.147676,0.07778392623784713,0.013589792431539571,0.14032407021772492,0.14275171528150576,0.29695101169835014,0.10175590521078226,0.13858955656807925,0.13123422714660193,0.20517440205227455,0.19907916287085836,0.2041189417248181,0.08337198120597289,0.1684367470835615,0.2322100911784557,0.24871674361174262,0.2423284339642991,0.2584286375794327,0.21887482538890635,0.1952461329098732
35,2021-07-04,69675.49,42024.367,1.1857144,0.0,3.4285715,18.248571,3.364235,15.183154,7.9572616,67.22619,42.79795,1.1857144,64.72121,1018.9161,1010.1465,16.949999,6.035546,13.866591,0.08035813794658475,0.009954225771432568,0.134739398456179,0.13972911625965118,0.29695101169835014,0.09636795228338974,0.11486870923684656,0.043926718101967466,0.21551163924501515,0.1882205456993094,0.1834935838104223,0.03689482727619431,0.15073352399014817,0.22661225099113713,0.2033591252661242,0.20390440464158144,0.2477792749611893,0.2308447109246719,0.1968391336370926
36,2021-07-11,68523.18,32234.809,3.3,0.0,9.428572,14.407143,2.5035322,12.656667,7.5322614,91.625,59.6762,3.3,73.04085,1012.72205,1003.93036,19.461428,6.8818016,11.061257,0.08135154060729333,0.01429752909496429,0.1572239847607872,0.13142958752912326,0.29695101169835014,0.09789903009669804,0.10891615307244074,0.15897922296191314,0.21784036128087036,0.17617521632129757,0.18028213648620078,0.09831645368955344,0.14485948181770075,0.2292648641094296,0.2568701973743248,0.24926374099737902,0.21044271672467524,0.24807319626518165,0.1896222269852103
37,2021-07-18,66910.95,47012.293,1.4,0.0,2.7142856,20.225714,3.8151278,18.084347,10.667381,68.309525,34.82574,1.4,64.558105,1015.0791,1006.4287,15.717857,5.790014,17.573347,0.08081683586575594,0.011226473411033666,0.07385805384725808,0.14139696684204178,0.29695101169835014,0.10288336273979376,0.07372370612213996,0.005001544573604355,0.07046443484263398,0.15318140830378302,0.19937254021651962,0.07038406512509543,0.16450923480669022,0.23015797405483357,0.23397222679440993,0.24162703494141252,0.25948253701949325,0.25213278592913774,0.07556978264900982
38,2021-07-25,64984.69,30468.908,3.1571426,0.0,11.0,12.721429,2.3712926,16.529285,12.517976,88.26786,58.330162,3.1571426,78.81392,1013.7868,1005.1029,13.907143,4.9349627,16.636484,0.08522486129092977,0.01419361817992415,0.16642810204582997,0.13525933982588495,0.29695101169835014,0.03850076334711994,0.13598192815975724,0.11676444637549849,0.13757288533768663,0.07554996193818164,0.20477373156567308,0.09055423894618098,0.13151111539607785,0.24464929912931443,0.23419188559739518,0.22605380931524782,0.2605468517522673,0.1959913898035872,0.11391120948615463
39,2021-08-01,62880.18,35862.88,0.6714286,0.0,3.2857144,15.741429,2.8218844,15.220655,10.039106,76.440475,53.269978,0.6714286,73.17552,1019.2214,1010.4512,15.220714,5.3538737,14.505118,0.08773146407286281,0.027401270027038738,0.13604712983638212,0.1694645276190358,0.29695101169835014,0.10854140963892456,0.13304613148232192,0.1325071488475566,0.2222655853869595,0.18120198822971106,0.1833267154107911,0.07193213355964856,0.17158861342754472,0.22993343945009254,0.19635674249235702,0.19754104053939175,0.25123716862650597,0.22098953879799416,0.1647156756650392
40,2021-08-08,60611.855,40871.258,1.457143,0.0,3.0,16.275715,3.0561805,17.162619,11.075416,45.833336,45.46481,1.457143,70.200516,1011.07214,1002.4293,15.942857,5.8184648,16.702028,0.09125585247060175,0.026971839496338967,0.10860371693508353,0.1425283309400503,0.29695101169835014,0.10768934646162126,0.1426522352989525,0.07475091112074106,0.10971115530199316,0.15268923290354375,0.1289551186311605,0.05754022115418167,0.1750921746894053,0.21465915799524654,0.2606647754105259,0.2580492591177284,0.2675880783345995,0.24866188540140727,0.10997651852978996
