date,usa_weekly_s_avg_c,usa_weekly_w_avg_c
2021-07-25,24.736563708683473,24.82766560355895
2021-08-01,25.230202901960784,25.303889978607668
2021-08-08,23.885052551820728,24.10768806700899
2021-08-15,25.689942717086836,25.906895188461796
2021-08-22,24.063833973389357,24.617798010350118
2021-08-29,25.211452700280113,25.732433882020832
2021-09-05,22.40755487114846,23.16754341163136
2021-09-12,22.649833963585433,23.29789368419734
2021-09-19,22.27715096722689,22.802695828865023
2021-09-26,19.19478058319328,20.227069207821867
2021-10-03,18.93430548347339,20.350482221039005
2021-10-10,18.796029192156862,19.999945060770706
2021-10-17,16.237234914509806,18.170065638942543
2021-10-24,14.241191391988796,15.805505522058672
2021-10-31,12.768029627338935,14.595436157636495
2021-11-07,8.906772759983193,10.35777713123429
2021-11-14,10.211931296820728,12.450702711023638
2021-11-21,8.03932397697479,10.419700424522164
2021-11-28,5.676917430481793,7.997159761647482
2021-12-05,7.8274776636162455,9.779469152997063
2021-12-12,5.793689188459384,8.560648714573011
2021-12-19,6.530191277372549,9.30576704966665
2021-12-26,4.649775702022409,7.245647130673374
2022-01-02,5.019821154078431,9.002674276393519
2022-01-09,-0.2562583813081233,3.10794896601105
2022-01-16,0.9837626214789915,3.610991913737121
2022-01-23,-0.08316075324649862,2.667633121783061
2022-01-30,-1.161288785555462,1.4084600515127792
2022-02-06,0.17576771168067232,3.07288209028329
2022-02-13,3.8195352945910366,6.096375904695836
2022-02-20,3.6027169330728293,5.968667843736808
2022-02-27,2.788238624201681,6.251311434698728
2022-03-06,7.240321876434174,9.593383399141134
2022-03-13,4.073194253257703,6.838374397688589
2022-03-20,10.202827779126052,12.227081138933341
2022-03-27,9.38186608982801,11.592545636291613
2022-04-03,8.85628242885434,10.76309021325608
2022-04-10,10.49323400145098,12.843367410304248
2022-04-17,11.910151548459384,14.594674659828963
2022-04-24,12.83290475582633,14.71447474502929
2022-05-01,13.53744497464986,15.341071875844472
2022-05-08,15.170008038095238,16.95192370971227
2022-05-15,18.719535295238096,19.759257196906795
2022-05-22,19.512024767787114,20.838409106243017
2022-05-29,18.750738633893555,19.663803225254583
2022-06-05,20.943111325490197,22.08878921144797
2022-06-12,22.055278816526613,22.869481071529545
2022-06-19,23.84594756022409,24.592937075815183
2022-06-26,23.9739237254902,24.83552134961519
2022-07-03,24.31092757422969,24.664834385180598
2022-07-10,25.086155425770308,25.31387274716053
2022-07-17,25.391699218487393,25.289939208297238
2022-07-24,27.008470697478995,27.023368330331063
2022-07-31,25.242061098039215,25.56836389574513
2022-08-07,26.122523193277313,26.32885227453975
2022-08-14,24.51549115406163,25.10391782120328
2022-08-21,23.604986960784316,24.16136538290451
2022-08-28,23.990380366946777,24.38894383660533
2022-09-04,24.347027277310925,25.09897648068172
2022-09-11,22.465870556022406,23.618667719528208
2022-09-18,21.07111687254902,21.98789892309052
2022-09-25,20.186452980672268,21.62350033821198
2022-10-02,17.08136424341737,18.18988571289082
2022-10-09,15.55023684229692,16.889538764241543
2022-10-16,15.42151926627451,17.06121622495456
2022-10-23,12.456603436086835,13.960077673371485
2022-10-30,12.31693261154902,14.374859595713941
2022-11-06,13.79762238462185,15.816148729968168
2022-11-13,9.925417632829133,12.462799178990569
2022-11-20,2.4122230937282914,5.135950271331069
2022-11-27,6.347721527162465,8.9336094348065
2022-12-04,5.02935091114846,8.228098305276836
2022-12-11,6.274834078896359,9.312325456564464
2022-12-18,2.2370072486938377,5.192437673682216
2022-12-25,-3.214019807737927,0.2660080287956439
